identityKey,versionKey,name,edition,level,school,castingTime,range,components,duration,concentration,ritual,attackModes,saveAbilities,effectReliabilityCategory,spellLists,sourceBooks,sourcePage,sourceSlug
aid,2024:aid,Aid,2024,-1,Abjuration,Action,30 feet,"V, S, M",8 hours,false,false,,,fixed_effect,Artificer;Bard;Cleric;Druid;Paladin;Ranger,Player's Handbook (2024),,aid
alarm,2024:alarm,Alarm,2024,-1,Abjuration,1 minute or R,30 feet,"V, S, M",8 hours,false,false,,,fixed_effect,Artificer;Ranger;Wizard,Player's Handbook (2024),,alarm
alter-self,2024:alter-self,Alter Self,2024,-1,Transmutation,Action,Self,"V, S","C, up to 1 hour",false,false,,,modifier_scaled,Artificer;Sorcerer;Wizard,Player's Handbook (2024),,alter-self
animal-friendship,2024:animal-friendship,Animal Friendship,2024,-1,Enchantment,Action,30 feet,"V, S, M",24 hours,false,false,,wisdom,saving_throw,Bard;Druid;Ranger,Player's Handbook (2024),,animal-friendship
animal-messenger,2024:animal-messenger,Animal Messenger,2024,-1,Enchantment,Action or R,30 feet,"V, S, M",24 Hours,false,false,,charisma,saving_throw,Bard;Druid;Ranger,Player's Handbook (2024),,animal-messenger
animal-shapes,2024:animal-shapes,Animal Shapes,2024,-1,Transmutation,Action,30 Feet,"V, S",24 Hours,false,false,,,fixed_effect,Druid,Player's Handbook (2024),,animal-shapes
animate-dead,2024:animate-dead,Animate Dead,2024,-1,Necromancy,1 minute,10 feet,"V, S, M",Instantaneous,false,false,,,fixed_effect,Cleric;Wizard,Player's Handbook (2024),,animate-dead
animate-objects,2024:animate-objects,Animate Objects,2024,-1,Transmutation,Action,120 feet,"V, S","C, up to 1 minute",false,false,,,modifier_scaled,Artificer;Bard;Sorcerer;Wizard,Player's Handbook (2024),,animate-objects
antilife-shell,2024:antilife-shell,Antilife Shell,2024,-1,Abjuration,Action,Self,"V, S",C up to 1 hour,false,false,,,fixed_effect,Druid,Player's Handbook (2024),,antilife-shell
antimagic-field,2024:antimagic-field,Antimagic Field,2024,-1,Abjuration,Action,Self,"V, S, M","C, up to 1 hour",false,false,,,fixed_effect,Cleric;Wizard,Player's Handbook (2024),,antimagic-field
antipathy-sympathy,2024:antipathy-sympathy,Antipathy/Sympathy,2024,-1,Enchantment,1 hour,60 feet,"V, S, M",10 days,false,false,,wisdom,saving_throw,Bard;Druid;Wizard,Player's Handbook (2024),,antipathy-sympathy
arcane-eye,2024:arcane-eye,Arcane Eye,2024,-1,Divination,Action,30 feet,"V, S, M","C, up to 1 hour",false,false,,,fixed_effect,Artificer;Wizard,Player's Handbook (2024),,arcane-eye
arcane-gate,2024:arcane-gate,Arcane Gate,2024,-1,Conjuration,Action,500 feet,"V, S","C, up to 10 minutes",false,false,,,fixed_effect,Sorcerer;Warlock;Wizard,Player's Handbook (2024),,arcane-gate
arcane-lock,2024:arcane-lock,Arcane Lock,2024,-1,Abjuration,Action,Touch,"V, S, M(C*)",Until dispelled,false,false,,,fixed_effect,Artificer;Wizard,Player's Handbook (2024),,arcane-lock
arcane-vigor,2024:arcane-vigor,Arcane Vigor,2024,-1,Abjuration,Bonus Action,Self,"V, S",Instantaneous,false,false,,,modifier_scaled,Artificer;Sorcerer;Wizard,Player's Handbook (2024),,arcane-vigor
armor-of-agathys,2024:armor-of-agathys,Armor of Agathys,2024,-1,Abjuration,Bonus Action,Self,"V, S, M",1 hour,false,false,,,fixed_effect,Warlock,Player's Handbook (2024),,armor-of-agathys
arms-of-hadar,2024:arms-of-hadar,Arms of Hadar,2024,-1,Conjuration,Action,Self,"V, S",Instantaneous,false,false,,strength,saving_throw,Warlock,Player's Handbook (2024),,arms-of-hadar
astral-projection,2024:astral-projection,Astral Projection,2024,-1,Necromancy,1 hour,10 feet,"V, S, M (C*)",Until dispelled,false,false,,,fixed_effect,Cleric;Warlock;Wizard,Player's Handbook (2024),,astral-projection
augury,2024:augury,Augury,2024,-1,Divination,1 minute or R,Self,"V, S, M(C)",Instantaneous,false,false,,,fixed_effect,Cleric;Druid;Wizard,Player's Handbook (2024),,augury
aura-of-life,2024:aura-of-life,Aura of Life,2024,-1,Abjuration,Action,Self,V,"C, up to 10 minutes",false,false,,,fixed_effect,Cleric;Paladin,Player's Handbook (2024),,aura-of-life
aura-of-purity,2024:aura-of-purity,Aura of Purity,2024,-1,Abjuration,Action,Self,V,"C, up to 10 minutes",false,false,,,fixed_effect,Cleric;Paladin,Player's Handbook (2024),,aura-of-purity
aura-of-vitality,2024:aura-of-vitality,Aura of Vitality,2024,-1,Abjuration,Action,Self,V,"C, up to 1 minute",false,false,,,fixed_effect,Cleric;Druid;Paladin,Player's Handbook (2024),,aura-of-vitality
awaken,2024:awaken,Awaken,2024,-1,Transmutation,8 Hours,Touch,"V, S, M(C*)",Instantaneous,false,false,,,fixed_effect,Bard;Druid,Player's Handbook (2024),,awaken
bane,2024:bane,Bane,2024,-1,Enchantment,Action,30 feet,"V, S, M","C, up to 1 minute",false,false,,charisma,saving_throw,Bard;Cleric;Warlock,Player's Handbook (2024),,bane
banishing-smite,2024:banishing-smite,Banishing Smite,2024,-1,Conjuration,Bonus Action,Self,V,"C, up to 1 minute",false,false,,charisma,saving_throw,Paladin,Player's Handbook (2024),,banishing-smite
banishment,2024:banishment,Banishment,2024,-1,Abjuration,Action,30 feet,"V, S, M","C, up to 1 minute",false,false,,charisma,saving_throw,Cleric;Paladin;Sorcerer;Warlock;Wizard,Player's Handbook (2024),,banishment
barkskin,2024:barkskin,Barkskin,2024,-1,Transmutation,Bonus Action,Touch,"V, S, M",1 hour,false,false,,,fixed_effect,Druid;Ranger,Player's Handbook (2024),,barkskin
beacon-of-hope,2024:beacon-of-hope,Beacon Of Hope,2024,-1,Abjuration,Action,30 feet,"V, S","C, up to 1 minute",false,false,,wisdom,saving_throw,Cleric,Player's Handbook (2024),,beacon-of-hope
beast-sense,2024:beast-sense,Beast Sense,2024,-1,Divination,Action or R,Touch,S,"C, up to 1 hour",false,false,,,fixed_effect,Druid;Ranger,Player's Handbook (2024),,beast-sense
befuddlement,2024:befuddlement,Befuddlement,2024,-1,Enchantment,Action,150 feet,"V, S, M",Instantanous,false,false,,intelligence,saving_throw,Bard;Druid;Warlock;Wizard,Player's Handbook (2024),,befuddlement
bestow-curse,2024:bestow-curse,Bestow Curse,2024,-1,Necromancy,Action,Touch,"V, S","C, up to 1 minute",false,false,,wisdom,saving_throw,Bard;Cleric;Wizard,Player's Handbook (2024),,bestow-curse
bigby-s-hand,2024:bigby-s-hand,Bigby's Hand,2024,-1,Evocation,Action,120 feet,"V, S, M","C, up to 1 minute",false,false,melee_spell,strength;dexterity,mixed,Artificer;Sorcerer;Wizard,Player's Handbook (2024),,bigby-s-hand
